Date,BTC.Open,BTC.High,BTC.Low,BTC.Close,LTC.Open,LTC.High,LTC.Low,LTC.Close,XRP.Open,XRP.High,XRP.Low,XRP.Close,ETH.Open,ETH.High,ETH.Low,ETH.Close,SHClose,SPClose,NKClose,MXClose,USDJPYClose,USDRUBClose,USDCNYClose
4/24/17,1248.22,1250.47,1238.11,1248.32,13.96,14.97,13.33,14.97,0.031236,0.031436,0.030738,0.031384,48.87,50.18,48.87,50.03,3129.53,2374.15,18875.88,1979.57,109.77,55.8438,6.8848
4/25/17,1248.32,1270.73,1248.19,1263.54,14.98,15.43,14.24,15.21,0.031409,0.033826,0.031297,0.032346,50.07,50.3,49.81,49.89,3134.57,2388.61,19079.33,1998.41,111.09,56.1574,6.8847
4/26/17,1263.54,1307.28,1263.49,1284.84,15.21,15.79,14.56,14.85,0.03239,0.033509,0.032183,0.032797,49.91,53.44,49.91,52.72,3140.85,2387.45,19289.43,2026.92,111.06,57.1535,6.8926
4/27/17,1284.84,1335.56,1283.31,1329.19,14.84,15,13.47,14.62,0.032827,0.035376,0.032157,0.034816,52.81,62.17,52.29,62.17,3152.19,2388.77,19251.87,2011.67,111.27,56.9705,6.8979
4/28/17,1329.19,1343.59,1282.93,1320.05,14.59,14.78,14.06,14.34,0.034843,0.045111,0.034784,0.044475,62.23,70.85,62.13,70.16,3154.66,2384.2,19196.74,2016.71,111.55,56.9311,6.8935
5/2/17,1402.08,1466.88,1397.06,1443.68,15.92,16.23,15.15,15.89,0.054646,0.055639,0.05071,0.053908,76.65,79.35,74.38,77.26,3143.71,2391.17,19445.7,2026.85,111.98,57.0137,6.896
5/10/17,1706.93,1782.89,1690.4,1756.8,33.3,37.33,31.22,31.96,0.158471,0.201207,0.156363,0.186066,91.15,92.85,85.29,89.52,3052.78,2399.63,19900.09,2028.21,114.28,57.4522,6.9032
5/11/17,1756.8,1848.75,1732.13,1807.37,32.66,32.91,28.03,30.72,0.185035,0.194828,0.162431,0.183135,89.77,102.55,88.48,89.88,3061.5,2394.44,19961.55,2002.54,113.86,57.0558,6.9037
5/12/17,1807.37,1808.55,1644.64,1676.99,30.93,31.68,27.37,27.45,0.18276,0.209535,0.180984,0.206068,89.43,93.12,88.66,88.66,3083.51,2390.9,19883.9,1994.58,113.34,57.0974,6.8994
5/15/17,1772.42,1773.49,1652.16,1697.38,28.89,28.93,25.19,25.37,0.220069,0.27072,0.220069,0.27072,90.78,95.43,86.83,92.41,3090.23,2402.32,19869.85,2003.12,113.78,56.352,6.893
5/16/17,1697.38,1737.34,1657.11,1718.2,25.34,25.34,22.81,23.33,0.269824,0.349861,0.269824,0.349861,92.39,93.56,89.12,89.44,3112.96,2400.67,19919.82,1992.94,113.12,56.5699,6.8867
5/17/17,1718.2,1823.55,1688.49,1802.16,23.24,25.95,20.8,25.4,0.355124,0.43517,0.326358,0.394132,89.25,91.27,84.43,89.86,3104.44,2357.03,19814.88,1994.35,110.82,57.0978,6.8819
5/18/17,1802.16,1893.63,1794.92,1887.33,25.17,29.01,25.12,28.36,0.394931,0.408012,0.331116,0.364869,89.84,97.37,89.84,96.91,3090.14,2365.72,19553.86,1967.66,111.5,57.5828,6.8893
5/19/17,1887.33,1973.01,1887.15,1968.1,28.29,28.41,26.78,27.7,0.363505,0.363505,0.300794,0.327801,97.05,133.56,97.05,129.53,3090.63,2381.73,19590.76,1962.4,111.28,56.9264,6.885
5/22/17,2055.62,2289.21,2045.79,2139.03,26.14,27.5,23.27,25.38,0.338403,0.345412,0.270091,0.317954,158.17,201.75,152.47,174.26,3075.68,2394.02,19678.28,1950.51,111.3,56.6293,6.8864
5/23/17,2139.03,2297.56,2134.64,2291.48,25.3,32.11,24.93,32.11,0.313347,0.354014,0.291893,0.323368,170.82,183.55,169.93,181.95,3061.95,2398.42,19613.28,1960.16,111.78,56.3695,6.89
5/24/17,2291.48,2524.83,2291.48,2476.3,32.12,35.16,31.71,34.45,0.325054,0.357358,0.293009,0.29589,182.65,228.37,182.45,190.05,3064.08,2404.39,19742.98,1951.98,111.5,56.4127,6.8899
5/25/17,2476.3,2791.69,2298.49,2357.5,34.47,36.21,28.87,29.9,0.291834,0.303467,0.238308,0.246065,189.85,210.98,170.51,174.45,3107.83,2415.07,19813.13,1947.26,111.83,56.9672,6.8689
5/26/17,2357.5,2639.9,2067.1,2247.48,30.33,31.32,22.56,23.75,0.245083,0.327812,0.245083,0.271808,175.22,193.69,150.28,160.4,3110.06,2415.82,19686.84,1934.25,111.34,56.5203,6.8556
5/31/17,2197.23,2351.24,2162.23,2330.23,24.29,25.57,23.18,25.3,0.20536,0.247677,0.193839,0.24659,231.58,236.97,215.57,230.67,3117.18,2411.8,19650.57,1900.38,110.78,56.5617,6.8101
6/1/17,2330.23,2489.98,2330.23,2452.18,25.34,29.62,25.3,28.8,0.243946,0.336797,0.243946,0.333657,230.89,236.22,214.48,222.24,3102.62,2430.06,19860.03,1869.66,111.36,56.3983,6.8078
6/2/17,2452.18,2517.41,2418.32,2517.41,28.9,29.89,27.74,28.94,0.333645,0.335809,0.29071,0.303448,222.29,229.41,219.58,223.78,3105.54,2439.07,20177.28,1881.87,110.42,56.6453,6.8117
6/5/17,2552.81,2736.59,2551.55,2736.59,28.09,30.99,28.09,30.84,0.299862,0.302394,0.2846,0.294003,245.26,249.47,243.05,248.46,3091.66,2436.1,20170.82,1877.69,110.47,56.6103,6.804
6/6/17,2736.59,2967.48,2732.99,2914.08,30.84,31.33,29.26,30.55,0.294028,0.294537,0.276248,0.284548,248.6,267.51,246.84,264.47,3102.13,2429.33,19979.9,1870.04,109.41,56.5353,6.7953
6/7/17,2914.08,2922.7,2629.53,2694.22,30.57,30.68,28.37,28.39,0.284677,0.298379,0.278874,0.279783,264.26,264.67,254.04,258.07,3140.32,2433.14,19984.62,1868.42,109.81,57.0911,6.7957
6/8/17,2694.22,2828.48,2625.08,2825.03,28.38,30.34,27.88,30.21,0.280902,0.29857,0.276441,0.289678,257.99,262.25,253.97,261.67,3150.33,2433.79,19909.26,1874.21,110,56.9048,6.8003
6/9/17,2825.03,2874.7,2794.06,2826.7,30.19,30.59,29.62,29.68,0.289695,0.299493,0.285884,0.286019,261.75,282.76,261.75,281.74,3158.4,2431.77,20013.26,1883.34,110.34,57.0237,6.798
6/13/17,2682.59,2802.95,2678.76,2738.93,29.49,30.64,29.33,30.64,0.253823,0.274659,0.2522,0.266153,395.69,411.18,370.06,397.54,3153.74,2440.35,19898.75,1861.27,110.07,56.9845,6.799
6/14/17,2738.93,2828.88,2385.03,2494.48,30.74,32.06,29.32,30.22,0.265823,0.307854,0.263202,0.278447,397.59,399.32,342.21,359.05,3130.67,2437.92,19883.52,1838.32,109.58,57.4307,6.7917
6/15/17,2494.48,2553.68,2185.96,2456.92,30.22,30.37,27.31,30.22,0.278196,0.278923,0.240868,0.259266,358.51,364.44,300.7,361.93,3132.49,2432.46,19831.82,1817.82,110.94,57.8743,6.8079
6/16/17,2456.92,2559.19,2366.49,2528.1,30.28,35.7,29.55,35.7,0.259473,0.266211,0.252408,0.262068,361.18,373.06,341.42,370.23,3123.17,2433.15,19943.26,1822.91,110.86,57.779,6.8104
6/19/17,2576.17,2642.28,2555.1,2641.66,46.16,53.55,44.99,50.32,0.283977,0.296068,0.280233,0.296068,371.86,377.12,369.76,370.06,3144.37,2453.46,20067.75,1849.78,111.53,58.4527,6.8195
6/20/17,2641.66,2822.63,2636.06,2778.83,50.41,51.47,45.75,47.22,0.292194,0.339533,0.290147,0.324427,370.33,377.97,350.94,359,3140.01,2437.03,20230.41,1857.96,111.44,59.62,6.8292
6/21/17,2778.83,2828.94,2661.42,2712.16,47.3,49.73,44.22,47.79,0.324623,0.32776,0.283614,0.296366,359.54,361.34,319.48,336.87,3156.21,2435.61,20138.79,1850.81,111.38,60.3063,6.8295
6/22/17,2712.16,2768.76,2637.22,2740.79,47.72,48.85,45.87,47.71,0.299886,0.305852,0.291519,0.297848,337.73,342.03,330.62,336.37,3147.45,2434.5,20110.51,1860.05,111.33,59.946,6.8348
6/23/17,2740.79,2813.31,2709.76,2738.22,47.75,48.42,47.27,47.34,0.297718,0.320751,0.295551,0.319978,336.49,348.01,334.99,341.74,3157.87,2438.3,20132.67,1867.46,111.29,59.395,6.8367
6/26/17,2594.45,2658,2387.64,2485.36,44.04,44.35,37.55,41.13,0.29877,0.30198,0.260819,0.277288,302.95,311.46,238.65,272.69,3185.44,2439.07,20153.35,1860.39,111.84,58.7853,6.8411
6/27/17,2485.36,2593.17,2332.6,2593.17,41.13,41.39,36.2,40.54,0.277288,0.27881,0.251052,0.276306,272.69,293.09,227.14,293.09,3191.2,2419.38,20225.09,1878.94,112.36,59.4894,6.8126
6/28/17,2593.17,2619.24,2490.21,2584.56,40.82,43.61,39.18,42.85,0.275391,0.28149,0.26784,0.280455,293.04,333.1,276.41,327.93,3173.2,2440.69,20130.41,1891.98,112.3,59.2004,6.7998
6/29/17,2584.56,2623.31,2530.12,2561.56,42.83,42.83,40.35,41.07,0.280565,0.280873,0.264175,0.265421,328.37,330.71,297.37,302.88,3188.06,2419.7,20220.3,1881.04,112.18,59.4146,6.787
6/30/17,2561.56,2632.11,2485.55,2499.98,41.04,41.75,40.17,40.35,0.26606,0.26916,0.262242,0.26293,303.15,315.17,288.44,294.92,3192.43,2423.41,20033.43,1879.5,112.38,58.9401,6.7809
7/3/17,2529.78,2620.29,2504.36,2581.07,41.48,48.4,40.97,46.43,0.258977,0.262354,0.255666,0.259959,288.41,291.1,281.18,282.9,3195.91,2429.01,20055.8,1902.59,113.39,59.284,6.8007
7/5/17,2625.07,2648.68,2560.85,2629.27,55.27,56.03,50.6,53.19,0.255125,0.261713,0.254275,0.256523,273.1,275.13,261.45,268.77,3207.13,2432.54,20081.63,1921.38,113.27,59.9993,6.8015
7/6/17,2629.27,2638.1,2591.98,2619.11,53.2,53.2,50.12,51.13,0.256374,0.257148,0.253303,0.254641,268.86,278.48,265.51,270.55,3212.44,2409.75,19994.06,1923.22,113.22,60.1558,6.8015
7/7/17,2619.11,2622.19,2492.33,2521.24,51.1,51.14,45.63,46.58,0.254858,0.255431,0.238892,0.23948,270.35,273.94,244.17,245.99,3217.96,2425.18,19929.09,1912.48,113.89,60.361,6.8059
7/10/17,2525.67,2544.96,2314.08,2371.96,49.91,50.53,44.74,46.58,0.234067,0.234067,0.185418,0.203165,243.01,243.07,196.97,215.36,3212.63,2427.43,20080.98,1925.74,114.04,60.2273,6.8036
7/11/17,2371.96,2428.16,2292.84,2332.19,46.27,47.39,43.65,45.33,0.196415,0.20332,0.168265,0.185019,211.53,220.29,183.39,197.4,3203.04,2425.53,20195.48,1937.64,113.94,60.7255,6.8025
7/12/17,2332.19,2438.48,2272.32,2423.16,45.26,49.07,44.07,48.75,0.184198,0.205898,0.177162,0.205354,197.15,230.77,189.59,230.77,3197.54,2443.25,20098.38,1954.39,113.16,59.9962,6.7877
7/13/17,2423.16,2450.99,2336.67,2364.52,48.72,49.05,45.39,46.33,0.205873,0.230452,0.193357,0.200809,231.81,231.81,200.06,209.73,3218.16,2447.83,20099.81,1959.91,113.28,59.8363,6.7835
7/14/17,2364.52,2376.43,2171.81,2232.65,46.36,46.48,40.8,42.8,0.200819,0.201156,0.183369,0.190769,209.53,211.1,187.37,199.66,3222.42,2459.27,20118.86,1960.69,112.53,59.0851,6.7758
7/18/17,2244.26,2407.19,2169.64,2327.9,42.62,45.33,41.47,44.3,0.179668,0.195807,0.165966,0.188718,195.03,267.99,182.06,234.39,3187.57,2460.61,19999.91,1947.71,112.08,59.1807,6.7463
7/19/17,2327.9,2413.48,2243.98,2294.4,44.35,44.42,40.56,40.86,0.188498,0.188533,0.158188,0.168388,234.94,245.65,191.75,199.7,3230.98,2473.83,20020.86,1951.89,111.97,58.997,6.7519
7/20/17,2294.4,2948.51,2276.15,2877.39,40.96,45.45,40.96,45.02,0.170017,0.192918,0.167718,0.188295,205.42,233.9,203.22,227.26,3244.86,2473.45,20144.59,1946.51,111.91,58.9316,6.7595
7/21/17,2877.39,2889.42,2621.23,2694.29,45.07,47.45,44.52,45.76,0.18943,0.190708,0.181098,0.182608,226.06,235.12,213.01,218.31,3237.98,2472.54,20099.75,1925.13,111.12,59.3829,6.7669
7/24/17,2762.63,2813.97,2720.71,2779.04,44.16,44.81,43.29,44.41,0.194979,0.195279,0.189835,0.192002,226.28,227.54,222.45,224.71,3250.6,2469.91,19975.67,1931.75,111.11,60.0094,6.7511
7/25/17,2779.04,2824,2485.18,2591.22,44.48,44.79,41.07,42.24,0.19228,0.192734,0.169797,0.178104,224.37,225.32,195.84,206.71,3243.69,2477.13,19955.2,1923.73,111.89,59.8868,6.7511
7/26/17,2591.22,2633.03,2433.83,2550.18,42.29,42.7,40.63,42.23,0.177582,0.180872,0.16906,0.173822,207.09,210.77,194.78,203.95,3247.67,2477.83,20050.16,1933.1,111.17,59.4064,6.7539
7/27/17,2550.18,2715.69,2541.71,2697.47,42.35,42.62,41.39,42.14,0.17521,0.176602,0.17198,0.173457,204.86,206.44,201.26,204.32,3249.78,2475.42,20079.64,1945.12,111.25,59.4968,6.743
7/28/17,2697.47,2833.24,2682.87,2805.18,42.22,42.47,35.94,40.61,0.173211,0.174078,0.162183,0.165937,204.32,204.9,192.3,193.12,3253.24,2472.1,19959.84,1916.75,110.67,59.5578,6.7374
7/31/17,2746.33,2908.29,2706.82,2873.83,40.34,44.03,38.95,43.02,0.16505,0.169535,0.162002,0.167386,197.41,203.87,193.41,203.87,3273.03,2470.3,19925.18,1919.53,110.25,59.7719,6.7265
8/1/17,2873.83,2925.03,2680.85,2735.59,43.02,43.77,41.09,43.04,0.168024,0.178332,0.166124,0.177053,204.69,227.74,204.69,226.77,3292.64,2476.35,19985.79,1940.14,110.36,60.3483,6.7181
8/2/17,2735.59,2772.56,2675.68,2723.58,43.07,43.21,42.07,42.13,0.177531,0.179655,0.171618,0.173113,227.01,229.51,218.12,219.95,3285.06,2477.57,20080.04,1965.48,110.73,60.5811,6.7219
8/3/17,2723.58,2824.38,2715.49,2814.36,42.19,43.17,42.13,42.86,0.173218,0.175969,0.17173,0.174612,220.18,228.29,219.89,225.34,3272.93,2472.16,20029.26,1965.29,110.05,60.3489,6.7169
8/4/17,2814.36,2897.79,2797.12,2883.68,42.89,43.71,42.82,43.45,0.174555,0.176053,0.172224,0.173743,225.31,227.62,222.06,223.07,3262.08,2476.83,19952.33,1953.49,110.69,59.9798,6.7289
8/7/17,3255,3451.85,3222.91,3431.97,45.17,46.48,45.12,45.8,0.179716,0.181847,0.177605,0.179021,261.24,271.96,256.69,269.18,3279.46,2480.91,20055.89,1970.37,110.75,60.0388,6.7214
8/8/17,3431.97,3538.04,3357.39,3453.16,45.9,49.37,45.79,48.63,0.179602,0.194391,0.178487,0.192586,269.1,298.91,266.8,296.77,3281.87,2474.92,19996.01,1989.61,110.31,59.8262,6.7065
8/9/17,3453.16,3460.54,3280.32,3377.54,48.59,50.23,47.16,48.01,0.192527,0.192914,0.180629,0.182947,297.63,318.72,276.69,296.03,3275.57,2474.02,19738.71,1975.91,110.08,59.9945,6.6739
8/10/17,3377.54,3481.09,3353.42,3445.28,48.05,48.51,46.5,46.5,0.183168,0.1835,0.180013,0.180399,296.96,306.59,289.93,295.89,3261.75,2438.21,19729.74,1960.23,109.22,60.117,6.6475
8/14/17,4111.2,4384.05,4031.85,4382.74,45.83,46.51,45.43,45.8,0.168376,0.180054,0.165289,0.169991,298.03,306.81,296.41,300.1,3237.36,2465.84,19537.1,1951.75,109.64,59.863,6.6711
8/15/17,4382.74,4483.55,3892.72,4204.43,45.81,45.84,42.29,43.31,0.16979,0.16979,0.158244,0.161221,299.95,300.41,279.33,289.82,3251.26,2464.61,19753.31,1950.28,110.67,59.7038,6.6855
8/16/17,4204.43,4434.41,3985.23,4425.3,43.37,45.06,42.57,44.15,0.161238,0.161726,0.153087,0.160431,289.82,303.41,285.38,302.27,3246.45,2468.11,19729.28,1942.88,110.19,59.3852,6.6916
